Store,Product,Price
eMAG,"Placa video ASUS GeForce GT1030 BRK, 2GB GDDR5, 64-bit","514,99"
eMAG,"Placa video Sparkle Intel ARC A380 ELF, 6GB GDDR6, 96-bit","861,86"
eMAG,"Placa video ASUS TUF Gaming GeForce RTX™ 5070 Ti OC Edition, 16GB GDDR7, 256-bit","6.539,99"
eMAG,"Placa video GIGABYTE Radeon™ RX 9070 GAMING OC, 16GB GDDR6, 256-bit","3.299,99"
eMAG,"Placa video MSI GeForce RTX™ 5070 12G GAMING TRIO OC, GDDR7, 192-bit, Negru","3.999,99"
eMAG,"Placa video MSI GeForce RTX™ 5080 GAMING TRIO OC, 16GB GDDR7, 256-bit","7.959,99"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 Ti GAMING OC, 16GB GDDR7, 256-bit","6.169,99"
eMAG,"Placa video ASUS Prime Radeon™ RX 9060 XT OC Edition 16GB, GDDR6, 128-bit","3.169,99"
eMAG,"Placa Video RX 580 2048SP, 8GB GDDR5 256-bit","800,00"
eMAG,"Placa video GIGABYTE AORUS Radeon™ RX 9070 XT ELITE, 16GB GDDR6, 256-bit","4.399,99"
eMAG,"Placa video MSI GeForce RTX™ 5060 Ti 8G VENTUS 2X OC PLUS, 8GB GDDR7, 128-bit","1.979,99"
eMAG,Placa Video XFX Swift AMD Radeon RX 9060 8GB,"1.657,99"
eMAG,"Placa video GTX 750 Ti 4GB GDDR5 128-bit, VGA DVI-I HDMI","500,00"
eMAG,Placa Video PNY RTX A400 4GB GDDR6 64 bit,"960,25"
eMAG,"Placa video ASUS Dual GeForce RTX™ 5050 OC Edition,8GB GDDR6 ,128-bit","1.699,99"
eMAG,"Placa video ASUS Radeon™ RX 7600 XT Dual OC, 16GB GDDR6, 128-bit","2.289,32"
eMAG,"Placa video GIGABYTE GeForce RTX™ 5070 Ti WindForce SFF, 16GB GDDR7, 192-bit","5.399,99"
eMAG,"Placa video Gigabyte GeForce RTX 5060 Ti EAGLE OC ICE 8G, 128 bit, Alb","2.299,99"
eMAG,"Placa video PCWinMax Radeon RX 580, 8GB GDDR5, 256-bit, 1 x DVI, 1 x HDMI, 1 x Display Port","799,00"
eMAG,Placa video Sparkle Intel Arc A310 Omni View 4GB GDDR6 64-bit,"821,99"
eMAG,"Placa video Gigabyte GeForce RTX 5060 Ti EAGLE MAX OC 16G, GDDR7, 128 bit, Negru","3.459,98"
eMAG,"Placa video GIGABYTE Radeon™ RX 9070 XT GAMING OC, 16GB GDDR6, 256-bit","4.239,99"
eMAG,"Placa video GTX 750 Ti 4GB GDDR5 128-bit, VGA DVI-I HDMI, low profile","500,00"
eMAG,"Placa Video GIGABYTE Geforce RTX 5060 WINDFORCE OC, 8GB GDDR7, 128-bit","1.849,99"
eMAG,"Placa video ASUS TUF Gaming GeForce RTX™ 5080, 16GB GDDR7, 256-bit","10.908,99"
eMAG,Placa video ZOTAC GAMING RTX 5090 SOLID OC 32GB GDDR7,"29.345,54"
eMAG,Placa video Biostar NVIDIA GeForce GTX1050Ti 4GB GDDR5 128bit,"812,03"
eMAG,"Placa video BIOSTAR GeForce GTX 1660 TI, 6GB, GDDR6, 192 bit, DVI, DP, HDMI","1.196,31"
eMAG,"Placa video Gigabyte GeForce RTX 5060 Ti GAMING OC 16G, 128 bit, GDDR7, Negru","3.661,63"
eMAG,"Placa video PNY GeForce RTX5060, 8GB, GDDR7, RGB, 128bit","2.111,10"
eMAG,"Placa video Matrox M9148-E1024LAF, 1024MB, PCI-E 16x, LP","3.826,71"
eMAG,"Placa video PNY Quadro RTX PRO 2000, 16GB, GDDR7, 128bit, 4xmini DisplayPort, PCIe, negru","5.024,96"
eMAG,"Placa video MSI GeForce RTX™ 5050 8G GAMING OC, 8GB GDDR7, 128-bit","1.815,77"
eMAG,"Placa Video RX 5700 2304SP, 8GB GDDR6 256-bit, HDMI 3 x DP, 1 x 6 pini 1 x 8 pini","1.250,00"
eMAG,"Placa video ASROCK Intel Arc A380 Challenger ITX, 6GB GDDR6","875,87"
eMAG,"Placa video GIGABYTE Radeon™ RX 9060 XT GAMING OC ICE, 16GB GDDR6, 128 bit, Alb","2.872,04"
eMAG,"Placa video XFX Swift AMD Radeon™ RX 9060 XT OC Triple Fan Gaming Edition, 16GB GDDR6, 128-bit","2.877,83"
eMAG,"Placa video MSI GeForce RTX™ 5050 8G VENTUS 2X OC, 8GB GDDR6, 128-bit","1.599,99"
eMAG,Placa video Gigabyte GeForce RTX 5050 8G GAMING OC,"1.951,57"
eMAG,"Placa video XFX Quicksilver AMD Radeon RX 9070XT Gaming Edition, 16GB GDDR6, 256-bit","4.219,99"
eMAG,"Placa video Gigabyte Radeon RX 9070 XT GAMING 16G, GDDR6, 256 bit,Negru","4.843,75"
eMAG,"Placa Video Biostar GeForce RTX 2060 Super 8GB GDDR6, performanță 1080p/1440p, racire eficientă","1.438,50"
eMAG,Placă video Intel ARC B580 12G,"2.000,00"
eMAG,"Placa video GIGABYTE GeForce® GT 710, 2GB DDR3, 64-bit","373,52"
eMAG,Placa video PNY Quadro RTX PRO 6000 Blackwell Workstation Edition 96GB DDR7,"65.583,00"
